RAND BACKWARD BACKWARD,512,58567740.0,244.8947,220.0,407.0,64.0,3.82648
CYCLIC,1024,195225800.0,161.5263,132.0,319.0,128.0,1.261924
SAWTOOTH,1024,260301000.0,133.7368,99.0,286.0,128.0,1.044819
RAND FORWARD FORWARD,1024,57139250.0,499.6316,451.0,649.0,128.0,3.903372
RAND FORWARD BACKWARD,1024,55778800.0,514.6842,462.0,693.0,128.0,4.02097
RAND BACKWARD BACKWARD,1024,60069470.0,489.2105,429.0,979.0,128.0,3.821957
CYCLIC,1024,195225800.0,174.8421,132.0,539.0,128.0,1.365954
SAWTOOTH,1024,234270900.0,132.0,110.0,297.0,128.0,1.03125
RAND FORWARD FORWARD,1024,57139250.0,499.6316,451.0,638.0,128.0,3.903372
RAND FORWARD BACKWARD,1024,58567740.0,497.3158,440.0,704.0,128.0,3.88528
RAND BACKWARD BACKWARD,1024,60069470.0,683.7368,429.0,4367.0,128.0,5.341694
CYCLIC,2048,203713900.0,292.3684,253.0,473.0,256.0,1.142064
SAWTOOTH,2048,234270900.0,250.1053,220.0,440.0,256.0,0.9769737
RAND FORWARD FORWARD,2048,57139250.0,988.8421,902.0,1023.0,256.0,3.862664
RAND FORWARD BACKWARD,2048,55122570.0,1005.632,935.0,1133.0,256.0,3.928248
RAND BACKWARD BACKWARD,2048,59309100.0,924.0,869.0,979.0,256.0,3.609375
CYCLIC,2048,203713900.0,292.9474,253.0,462.0,256.0,1.144326
SAWTOOTH,2048,246601000.0,246.6316,209.0,429.0,256.0,0.9634046
RAND FORWARD FORWARD,2048,56450830.0,985.3684,913.0,1012.0,256.0,3.849095
RAND FORWARD BACKWARD,2048,56450830.0,993.4737,913.0,1045.0,256.0,3.880757
RAND BACKWARD BACKWARD,2048,60069470.0,919.9474,858.0,968.0,256.0,3.593544
CYCLIC,4096,199379500.0,570.8421,517.0,671.0,512.0,1.114926
SAWTOOTH,4096,246601000.0,467.7895,418.0,594.0,512.0,0.9136513
RAND FORWARD FORWARD,4096,51206760.0,2172.789,2013.0,2387.0,512.0,4.243729
RAND FORWARD BACKWARD,4096,54800220.0,2045.421,1881.0,2233.0,512.0,3.994963
RAND BACKWARD BACKWARD,4096,54800220.0,2046.579,1881.0,2156.0,512.0,3.997225
CYCLIC,4096,195225800.0,577.7895,528.0,737.0,512.0,1.128495
SAWTOOTH,4096,253265900.0,456.2105,407.0,627.0,512.0,0.8910362
RAND FORWARD FORWARD,4096,52942590.0,2135.158,1947.0,2288.0,512.0,4.17023
RAND FORWARD BACKWARD,4096,54166690.0,2059.895,1903.0,2266.0,512.0,4.023232
RAND BACKWARD BACKWARD,4096,56450830.0,2007.211,1826.0,2112.0,512.0,3.920333
CYCLIC,8192,175155800.0,1277.158,1177.0,1419.0,1024.0,1.247225
SAWTOOTH,8192,223115200.0,1022.421,924.0,1199.0,1024.0,0.9984581
RAND FORWARD FORWARD,8192,25395220.0,9044.895,8118.0,8723.0,1024.0,8.832905
RAND FORWARD BACKWARD,8192,32880130.0,6749.947,6270.0,7117.0,1024.0,6.591745
RAND BACKWARD BACKWARD,8192,25190420.0,8960.947,8184.0,8569.0,1024.0,8.750925
CYCLIC,8192,180208400.0,1229.105,1144.0,1364.0,1024.0,1.200298
SAWTOOTH,8192,237236400.0,950.0526,869.0,1133.0,1024.0,0.9277858
RAND FORWARD FORWARD,8192,25156610.0,8921.579,8195.0,8514.0,1024.0,8.712479
RAND FORWARD BACKWARD,8192,33647530.0,6590.737,6127.0,7161.0,1024.0,6.436266
RAND BACKWARD BACKWARD,8192,24889340.0,8938.947,8283.0,8525.0,1024.0,8.729441
CYCLIC,16384,187416800.0,2345.316,2200.0,2497.0,2048.0,1.145174
SAWTOOTH,16384,228557000.0,1921.526,1804.0,1991.0,2048.0,0.9382453
RAND FORWARD FORWARD,16384,24308270.0,17893.53,16962.0,17270.0,2048.0,8.737073
RAND FORWARD BACKWARD,16384,28140650.0,15521.58,14652.0,15851.0,2048.0,7.578896
RAND BACKWARD BACKWARD,16384,24276780.0,18304.0,16984.0,21758.0,2048.0,8.9375
CYCLIC,16384,188358500.0,2339.526,2189.0,2486.0,2048.0,1.142347
SAWTOOTH,16384,231378700.0,1921.526,1782.0,2068.0,2048.0,0.9382453
RAND FORWARD FORWARD,16384,24419120.0,17879.05,16885.0,17017.0,2048.0,8.730006
RAND FORWARD BACKWARD,16384,28056400.0,16140.47,14696.0,25564.0,2048.0,7.881091
RAND BACKWARD BACKWARD,16384,24308270.0,18226.42,16962.0,22869.0,2048.0,8.89962
CYCLIC,32768,176808300.0,4962.737,4664.0,4928.0,4096.0,1.211606
SAWTOOTH,32768,219843700.0,4376.842,3751.0,10087.0,4096.0,1.068565
RAND FORWARD FORWARD,32768,19996450.0,45643.05,41239.0,51788.0,4096.0,11.14332
RAND FORWARD BACKWARD,32768,23844370.0,37637.95,34584.0,42779.0,4096.0,9.188952
RAND BACKWARD BACKWARD,32768,20060660.0,43832.11,41107.0,43824.0,4096.0,10.7012
CYCLIC,32768,188358500.0,4647.789,4378.0,4642.0,4096.0,1.134714
SAWTOOTH,32768,225803300.0,5208.789,3652.0,6127.0,4096.0,1.271677
RAND FORWARD FORWARD,32768,23686160.0,40148.26,34815.0,50017.0,4096.0,9.801822
RAND FORWARD BACKWARD,32768,25568450.0,34823.11,32252.0,43725.0,4096.0,8.501735
RAND BACKWARD BACKWARD,32768,23761240.0,38311.26,34705.0,49280.0,4096.0,9.353336
CYCLIC,65536,179992100.0,11381.53,9163.0,13563.0,8192.0,1.389346
SAWTOOTH,65536,208820900.0,8457.842,7898.0,8767.0,8192.0,1.032451
